code,name,area
L/SNT1,L/SNT1 Professioni sanitarie. infermieristiche e professione sanitaria ostetrica,Medica
L/SNT2,L/SNT2 Professioni sanitarie della riabilitazione,Medica
L/SNT3,L/SNT3 Professioni sanitarie tecniche,Medica
L/SNT4,L/SNT4 Professioni sanitarie della prevenzione,Medica
LM-41,LM-41 Medicina e chirurgia,Medica
LM-42,LM-42 Medicina veterinaria,Medica
LM-46,LM-46 Odontoiatria e protesi dentaria,Medica
LM/SNT1,LM/SNT1 Scienze infermieristiche e ostetriche,Medica
LM/SNT2,LM/SNT2 Scienze riabilitative delle professioni sanitarie,Medica
LM/SNT3,LM/SNT3 Scienze delle professioni sanitarie tecniche,Medica
LM/SNT4,LM/SNT4 Scienze delle professioni sanitarie della prevenzione,Medica
L-2,L-2 Biotecnologie,Scientifica
L-4,L-4 Disegno industriale,Scientifica
L-7,L-7 Ingegneria civile e ambientale,Scientifica
L-8,L-8 Ingegneria dell'informazione,Scientifica
L-9,L-9 Ingegneria industriale,Scientifica
L-13,L-13 Scienze biologiche,Scientifica
L-17,L-17 Scienze dell'architettura,Scientifica
L-21,L-21 Scienze della pianificazione territoriale. urbanistica. paesaggistica e ambientale,Scientifica
L-22,L-22 Scienze delle attività motorie e sportive,Scientifica
L-23,L-23 Scienze e tecniche dell'edilizia,Scientifica
L-25,L-25 Scienze e tecnologie agrarie e forestali,Scientifica
L-26,L-26 Scienze e tecnologie alimentari,Scientifica
L-27,L-27 Scienze e tecnologie chimiche,Scientifica
L-28,L-28 Scienze e tecnologie della navigazione,Scientifica
L-29,L-29 Scienze e tecnologie farmaceutiche,Scientifica
L-30,L-30 Scienze e tecnologie fisiche,Scientifica
L-31,L-31 Scienze e tecnologie informatiche,Scientifica
L-32,L-32 Scienze e tecnologie per l'ambiente e la natura,Scientifica
L-34,L-34 Scienze geologiche,Scientifica
L-35,L-35 Scienze matematiche,Scientifica
L-38,L-38 Scienze zootecniche e tecnologie delle produzioni animali,Scientifica
L-41,L-41 Statistica,Scientifica
L-43,L-43 Diagnostica per la conservazione dei beni culturali,Scientifica
LM-3,LM-3 Architettura del paesaggio,Scientifica
LM-4,LM-4 Architettura e ingegneria edile-architettura,Scientifica
LM-6,LM-6 Biologia,Scientifica
LM-7,LM-7 Biotecnologie agrarie,Scientifica
LM-8,LM-8 Biotecnologie industriali,Scientifica
LM-9,LM-9 Biotecnologie mediche. veterinarie e farmaceutiche,Scientifica
LM-10,LM-10 Conservazione dei beni architettonici e ambientali,Scientifica
LM-11,LM-11 Scienze per la conservazione dei beni culturali,Scientifica
LM-12,LM-12 Design,Scientifica
LM-13,LM-13 Farmacia e farmacia industriale,Scientifica
LM-17,LM-17 Fisica,Scientifica
LM-18,LM-18 Informatica,Scientifica
LM-20,LM-20 Ingegneria aerospaziale e astronautica,Scientifica
LM-21,LM-21 Ingegneria biomedica,Scientifica
LM-22,LM-22 Ingegneria chimica,Scientifica
LM-23,LM-23 Ingegneria civile,Scientifica
LM-24,LM-24 Ingegneria dei sistemi edilizi,Scientifica
LM-25,LM-25 Ingegneria dell'automazione,Scientifica
LM-26,LM-26 Ingegneria della sicurezza,Scientifica
LM-27,LM-27 Ingegneria delle telecomunicazioni,Scientifica
LM-28,LM-28 Ingegneria elettrica,Scientifica
LM-29,LM-29 Ingegneria elettronica,Scientifica
LM-30,LM-30 Ingegneria energetica e nucleare,Scientifica
LM-31,LM-31 Ingegneria gestionale,Scientifica
LM-32,LM-32 Ingegneria informatica,Scientifica
LM-33,LM-33 Ingegneria meccanica,Scientifica
LM-34,LM-34 Ingegneria navale,Scientifica
LM-35,LM-35 Ingegneria per l'ambiente e il territorio,Scientifica
LM-40,LM-40 Matematica,Scientifica
LM-44,LM-44 Modellistica matematico-fisica per l'ingegneria,Scientifica
